# Tool registry — single source of truth for all tool metadata
# Fields are tab-separated. Use "-" for default (= tool name).
# depends: comma-separated list of tools that must be installed first.
# platforms: comma-separated list (macos,linux). "-" = all platforms.
#
# tool	binary	group	method	pkg	depends	uninstall_cmd	platforms
ripgrep	rg	cli	system	-	-	-	-
jq	-	cli	system	-	-	-	-
bat	-	cli	system	-	-	-	-
fzf	-	cli	system	-	-	-	-
htop	-	cli	system	-	-	-	-
tmux	-	cli	system	-	-	-	-
fd	-	cli	cargo	-	-	cargo uninstall fd-find	-
eza	-	cli	cargo	-	-	-	-
zoxide	-	cli	cargo	-	-	-	-
fish	-	cli	system	-	-	-	-
awscli	aws	cli	system	-	-	-	-
starship	-	cli	custom	-	-	-	-
neovim	nvim	cli	system	-	-	-	-
fisher	-	cli	custom	-	fish	fish -c 'fisher remove jorgebucaran/fisher'	-
docker	-	cli	cask	-	-	-	-
kubectl	-	cli	system	-	-	-	-
gh	-	cli	system	-	-	-	-
terraform	-	cli	system	-	-	-	-
helm	-	cli	system	-	-	-	-
op	-	cli	cask	1password-cli	-	-	-
claude-code	claude	cli	custom	-	-	npm uninstall -g @anthropic-ai/claude-code	-
uv	-	python	custom	-	-	rm -f ~/.local/bin/uv ~/.local/bin/uvx	-
ruff	-	python	uv	-	uv	-	-
black	-	python	uv	-	uv	-	-
isort	-	python	uv	-	uv	-	-
pyright	-	python	uv	-	uv	-	-
pytest	-	python	uv	-	uv	-	-
nodejs	node	node	system	-	-	-	-
prettier	-	node	npm	-	nodejs	-	-
eslint	-	node	npm	-	nodejs	-	-
gopls	-	go	go	-	-	-	-
golangci-lint	-	go	custom	-	-	rm -f ~/.local/bin/golangci-lint	-
cargo-edit	cargo-add	rust	cargo	-	-	-	-
cargo-watch	-	rust	cargo	-	-	-	-
typst	-	cli	cargo	-	-	cargo uninstall typst-cli	-
bash-language-server	-	lsp	npm	-	nodejs	-	-
typescript-language-server	-	lsp	npm	-	nodejs	-	-
lua-language-server	-	lsp	custom	-	-	rm -rf ~/.local/lib/lua-language-server ~/.local/bin/lua-language-server	-
tinymist	-	lsp	custom	-	-	rm -f ~/.local/bin/tinymist	-
kitty	-	desktop	cask	-	-	-	-
ghostty	-	desktop	cask	-	-	-	macos
zed	-	desktop	cask	-	-	-	-
jetbrains-mono-nerd-font	-	desktop	cask	font-jetbrains-mono-nerd-font	-	-	-
appcleaner	-	desktop	cask	-	-	-	macos
basictex	-	desktop	cask	-	-	-	macos
brave-browser	-	desktop	cask	-	-	-	-
drawio	-	desktop	cask	-	-	-	-
firefox	-	desktop	cask	-	-	-	-
git-credential-manager	-	desktop	cask	-	-	-	-
google-chrome	-	desktop	cask	-	-	-	macos,linux-x86_64
google-drive	-	desktop	cask	-	-	-	macos
iina	-	desktop	cask	-	-	-	macos
keka	-	desktop	cask	-	-	-	macos
maccy	-	desktop	cask	-	-	-	macos
netnewswire	-	desktop	cask	-	-	-	macos
obsidian	-	desktop	cask	-	-	-	-
ollama-app	-	desktop	cask	ollama	-	-	-
skim	-	desktop	cask	-	-	-	macos
stats	-	desktop	cask	-	-	-	macos
transmission	-	desktop	cask	-	-	-	-
vscodium	codium	desktop	cask	-	-	-	-
zoom	-	desktop	cask	-	-	-	macos,linux-x86_64
